['4e4f90fcfb', 'context', '�\xadлектроника']
['fd2c2b59b9', 'context', 'Бытовая техника']
['19d1e4e036', 'context', 'Товары для животных']
['ddd50eaa45', 'other', '�\xadлектроника']
['e07b13abd0', 'email', 'Бытовая техника']
['da79d9ff30', 'other', 'Товары для животных']
['eded5c6792', 'context', 'Досуг']
['12de58d8e6', 'other', 'Продукты']
['ea10f78fec', 'other', 'Продукты']
['9d25ac3886', 'context', 'Досуг']
['ddf1af2d3f', 'other', 'Бытовая техника']
['d47dd8b814', 'other', '�\xadлектроника']
['c5e1bf636a', 'context', '�\xadлектроника']
['a86e69db63', 'other', 'Продукты']
['91802f78b2', 'other', '�\xadлектроника']
['06569907e6', 'other', 'Бытовая техника']
['9f5bf9b73f', 'other', 'Строительство и ремонт']
['f9a3ef9ac2', 'context', 'Продукты']
['716a1b4e10', 'context', 'Продукты']
['426fa041ad', 'other', '�\xadлектроника']
['c0cd6e93e6', 'other', '�\xadлектроника']
['f0dfb618b4', 'other', 'Товары для животных']
['29586e4061', 'other', 'Продукты']
['da237781d5', 'context', 'Продукты']
['b7195283e1', 'other', 'Товары для животных']
['62f37b821c', 'context', 'Досуг']
['69ae0afab1', 'other', 'Продукты']
['fea946e2a6', 'other', '�\xadлектроника']
['e43ad75353', 'email', 'Продукты']
['bed9ab14bd', 'other', 'Товары для животных']
['b30f6a38da', 'other', '�\xadлектроника']
['74b06f9902', 'email', 'Строительство и ремонт']
['397005e41e', 'other', 'Бытовая техника']
['9fb91262f8', 'other', 'Бытовая техника']
['5b7c1e9769', 'email', 'Бытовая техника']
['b15321ea7c', 'other', 'Продукты']
['0d4f4664e0', 'context', 'Продукты']
['a8660dcfae', 'context', 'Бытовая техника']
['8abc724d78', 'other', 'Бытовая техника']
['a7bfa5d0cc', 'context', 'Досуг']
['2bfb139a80', 'other', '�\xadлектроника']
['69775511be', 'context', 'Досуг']
['0da9ca70fe', 'context', 'Продукты']
['74a55eee1d', 'other', '�\xadлектроника']
['69475b45df', 'context', 'Бытовая техника']
['28ce699720', 'other', 'Бытовая техника']
['f0d57ef042', 'other', '�\xadлектроника']
['39325a5a80', 'other', 'Досуг']
['c577b4b31e', 'other', 'Продукты']
['4038202869', 'other', '�\xadлектроника']
['1405e18ffb', 'context', 'Досуг']
['4cd8bde9ac', 'context', 'Продукты']
['8c5eeb346a', 'context', 'Бытовая техника']
['853f7ea287', 'other', 'Продукты']
['3b1fb2ad3f', 'other', '�\xadлектроника']
['8c45fdbf5a', 'other', '�\xadлектроника']
['55effa36e0', 'other', 'Продукты']
['51d4f4b9d5', 'other', 'Бытовая техника']
['694fdf8197', 'context', '�\xadлектроника']
['bc2b6ade51', 'other', '�\xadлектроника']
['e371c40a07', 'context', '�\xadлектроника']
['74d3a4830b', 'context', 'Продукты']
['be78adf037', 'other', '�\xadлектроника']
['a7091d1405', 'other', 'Бытовая техника']
['c74d0b4602', 'context', '�\xadлектроника']
['a8c4da0681', 'other', '�\xadлектроника']
['47ec449fbe', 'context', 'Строительство и ремонт']
['508e26d325', 'other', '�\xadлектроника']
['be8c8f1a63', 'context', 'Продукты']
['c59381af1d', 'other', 'Строительство и ремонт']
['bc40fc5c3b', 'other', 'Продукты']
['b3fe11defe', 'email', 'Продукты']
['1909ff3b18', 'context', 'Продукты']
['cc85b81371', 'other', 'Продукты']
['36d248e31c', 'context', 'Продукты']
['84b1b23768', 'context', 'Досуг']
['44174c696c', 'other', 'Продукты']
['2e8723f652', 'other', 'Продукты']
['2ffcf27605', 'other', 'Бытовая техника']
['24c047fa51', 'other', '�\xadлектроника']
['d9a640bee2', 'other', '�\xadлектроника']
['bbec49524b', 'context', '�\xadлектроника']
['e95d728116', 'other', 'Продукты']
['5392a9dd06', 'other', 'Строительство и ремонт']
['8c9c7efbdb', 'context', 'Бытовая техника']
['8e7cb8744a', 'other', 'Продукты']
['c1a0da9976', 'other', '�\xadлектроника']
['9e7126c1f7', 'other', 'Строительство и ремонт']
['9c4d9e37b8', 'other', '�\xadлектроника']
['f67f61db9e', 'other', '�\xadлектроника']
['73d9a7f6d5', 'other', 'Продукты']
['ccfa85981e', 'other', 'Бытовая техника']
['56183e3be7', 'other', 'Продукты']
['27be75d1bf', 'other', '�\xadлектроника']
['ba38172577', 'context', 'Досуг']
['ac317ed5da', 'other', '�\xadлектроника']
['56ac42291c', 'other', '�\xadлектроника']
['d2e5eece34', 'email', 'Бытовая техника']
['5e5398d531', 'context', '�\xadлектроника']
['7c62be614e', 'other', 'Строительство и ремонт']
['8d726fa305', 'other', 'Бытовая техника']
['2ffc0ac898', 'other', 'Продукты']
['3953e7d027', 'context', '�\xadлектроника']
['abbaaeeec6', 'context', 'Товары для животных']
['b3347f9015', 'other', '�\xadлектроника']
['5f4ccaec06', 'context', '�\xadлектроника']
['0a22ae5507', 'other', '�\xadлектроника']
['e43e102688', 'other', 'Досуг']
['2da9fe5598', 'other', '�\xadлектроника']
['bdec18f74e', 'context', 'Продукты']
['9df56d0753', 'email', 'Продукты']
['c86f800915', 'other', 'Бытовая техника']
['422ac66d5a', 'other', '�\xadлектроника']
['d8557c45f3', 'other', 'Продукты']
['987dc6321c', 'other', '�\xadлектроника']
['48a32ff3cc', 'context', '�\xadлектроника']
['3f93050f90', 'other', 'Досуг']
['73aa62d288', 'other', '�\xadлектроника']
['092337723c', 'other', '�\xadлектроника']
['642295148f', 'other', '�\xadлектроника']
['e8dcb49bc2', 'other', 'Досуг']
['b97069ed8f', 'other', 'Бытовая техника']
['f127ee3e08', 'other', 'Бытовая техника']
['547434b3fc', 'context', 'Строительство и ремонт']
['ec0d778ca8', 'other', '�\xadлектроника']
['8c6a576009', 'other', 'Бытовая техника']
['c92680024a', 'context', 'Досуг']
['0f359c5def', 'context', '�\xadлектроника']
['81b86551e0', 'other', 'Товары для животных']
['b694d9fb7e', 'context', 'не определена']
['34abde015c', 'other', 'Бытовая техника']
['2feeed4e90', 'context', '�\xadлектроника']
['e50f766aee', 'other', '�\xadлектроника']
['773030b2e2', 'context', 'Бытовая техника']
['b45d0d2b02', 'other', '�\xadлектроника']
['da177dee2e', 'email', 'Досуг']
['e2389b2f7d', 'context', '�\xadлектроника']
['9443ea597f', 'other', 'Строительство и ремонт']
['9b2ff5eba6', 'other', 'Бытовая техника']
['f88b4269c5', 'context', 'Товары для животных']
['8afd34ea5d', 'email', '�\xadлектроника']
['2419ce61b8', 'other', 'Досуг']
['2e74cb6a8a', 'other', '�\xadлектроника']
['ffde2d54b0', 'other', '�\xadлектроника']
['23b5af6334', 'other', 'не определена']
['1a9515473a', 'other', 'Товары для животных']
['2571da9158', 'other', 'Строительство и ремонт']
['a677351888', 'context', '�\xadлектроника']
['b2d09e3401', 'email', 'Бытовая техника']
['0a96362e4d', 'other', 'Бытовая техника']
['854a5623f0', 'other', 'Продукты']
['3ea58635a3', 'context', '�\xadлектроника']
['262f3fc8b5', 'other', '�\xadлектроника']
['18e33e0244', 'email', '�\xadлектроника']
['5f58fedc8c', 'other', 'Строительство и ремонт']
['c4925e020b', 'other', '�\xadлектроника']
['eb986e44ed', 'email', '�\xadлектроника']
['5f8e41e9fe', 'other', 'Бытовая техника']
['5987dcf8a4', 'other', 'Бытовая техника']
['c2d2d8ac77', 'other', 'Бытовая техника']
['c9c47cbb3e', 'email', 'Досуг']
['f5ec9a5cd3', 'other', 'Досуг']
['e6d9f9266d', 'other', 'Продукты']
['52b1d2a63f', 'other', 'Продукты']
['a7e81df232', 'context', 'Досуг']
['1aa5be530e', 'other', 'Продукты']
['28f52a3a57', 'email', '�\xadлектроника']
['95161a6ab0', 'other', '�\xadлектроника']
['151f96dc65', 'context', 'Строительство и ремонт']
['ce57bf3770', 'email', 'Бытовая техника']
['69d7a3a6b7', 'other', '�\xadлектроника']
['8e8f91533b', 'context', 'Продукты']
['bfd49a9403', 'other', 'Продукты']
['6fb5f6efb3', 'other', 'Продукты']
['ed32992735', 'other', '�\xadлектроника']
['9a1538d1d4', 'other', 'Бытовая техника']
['597f7b8898', 'context', 'Продукты']
['e0205c7f6f', 'other', 'Продукты']
['fc4b00bcd2', 'other', 'Досуг']
['93564b2f07', 'context', '�\xadлектроника']
['0c26f6807b', 'other', 'Бытовая техника']
['3f17e0ae70', 'other', '�\xadлектроника']
['5574f1d3f7', 'other', '�\xadлектроника']
['6c1e59bd4c', 'other', 'Бытовая техника']
['ed11062209', 'context', 'Досуг']
['547434b3fc', 'other', 'Строительство и ремонт']
['190a767c80', 'context', '�\xadлектроника']
['06c037d78b', 'context', '�\xadлектроника']
['3880135278', 'other', '�\xadлектроника']
['16fc636b92', 'context', '�\xadлектроника']
['a9e50fec42', 'other', '�\xadлектроника']
['b1c4466083', 'other', 'Продукты']
['3f3161ecf3', 'other', '�\xadлектроника']
['1548dbc533', 'other', 'Продукты']
['771c115971', 'other', 'Строительство и ремонт']
['47f4301c42', 'context', 'Строительство и ремонт']
['d1d6f9b416', 'other', '�\xadлектроника']
['2fe04b4c3a', 'other', 'Продукты']
['c80ea6d678', 'other', 'Строительство и ремонт']
['a60013a070', 'context', 'Бытовая техника']
['ae939da2e6', 'other', 'Продукты']
['f91ea585fa', 'None', 'Продукты']
['654fd1a3d4', 'other', 'Бытовая техника']
['5da0bbd1a2', 'other', 'Продукты']
['b49e94e319', 'other', 'Бытовая техника']
['cdb8ff1123', 'other', 'Строительство и ремонт']
['616be967a6', 'context', 'Товары для животных']
['74d4880314', 'other', 'Досуг']
['38c3ba4023', 'other', '�\xadлектроника']
['64f7b50d91', 'context', 'Продукты']
['3df04d540a', 'context', 'Бытовая техника']
['97e4995f30', 'other', 'Строительство и ремонт']
['c7a0815ba6', 'other', 'Бытовая техника']
['dec8283dc2', 'other', '�\xadлектроника']
['e3b7d0ac95', 'other', '�\xadлектроника']
['5ac7f7df8b', 'email', 'Бытовая техника']
['be1e79ee76', 'other', '�\xadлектроника']
['f7075c9aa0', 'context', 'Досуг']
['62b23ee4ec', 'context', '�\xadлектроника']
['b8ec83addc', 'other', '�\xadлектроника']
['73c4b254fd', 'other', 'Строительство и ремонт']
['d589dd0c64', 'other', 'Строительство и ремонт']
['27c802ea37', 'other', '�\xadлектроника']
['b2472945fb', 'email', '�\xadлектроника']
['a8d0360a31', 'other', 'Бытовая техника']
['4a6d6258da', 'None', '�\xadлектроника']
['2942d52d8f', 'email', 'Продукты']
['045b8e93fb', 'other', 'Товары для животных']
['bb933961ba', 'other', '�\xadлектроника']
['bccd9951e1', 'context', 'Продукты']
['c85703bb83', 'other', '�\xadлектроника']
['8f7e0e382c', 'email', '�\xadлектроника']
['31f083b890', 'other', '�\xadлектроника']
['96f1cdc32a', 'context', '�\xadлектроника']
['69368a4512', 'other', 'Досуг']
['a39eeffc02', 'other', '�\xadлектроника']
['12a4a922a1', 'other', 'Продукты']
['c3507551c1', 'context', 'Бытовая техника']
['d51526e303', 'context', 'Строительство и ремонт']
['ff0f3a4f31', 'other', 'Бытовая техника']
['a14266b0c8', 'other', '�\xadлектроника']
['7c410bc984', 'other', 'Продукты']
['2863b7f7a8', 'other', '�\xadлектроника']
['c6cf274c7c', 'other', 'Бытовая техника']
['19a6b109c1', 'other', '�\xadлектроника']
['be4e078bfe', 'other', 'Бытовая техника']
['e9c183b31b', 'email', '�\xadлектроника']
['b2eae573f9', 'other', '�\xadлектроника']
['0f70a51e4f', 'other', '�\xadлектроника']
['4ec1430612', 'other', 'Бытовая техника']
['ddeffbfe0d', 'other', 'Продукты']
['ab3b5c58c4', 'other', 'Досуг']
['c60a01a400', 'other', 'Бытовая техника']
['4068465b5c', 'other', '�\xadлектроника']
['9b8a4ed047', 'other', 'Продукты']
['804500fb95', 'context', 'Бытовая техника']
['7ffdf9d121', 'other', 'Товары для животных']
['c612258cb7', 'other', 'Строительство и ремонт']
['6c0e66a66f', 'other', 'Бытовая техника']
['49d3c0fa39', 'email', 'Товары для животных']
['0bb0401efe', 'other', '�\xadлектроника']
['02d90d34aa', 'other', 'Продукты']
['75f5d0d207', 'context', 'Досуг']
['20de5fe407', 'context', '�\xadлектроника']
['019d3a0a03', 'other', 'Бытовая техника']
['b23d63fafa', 'other', '�\xadлектроника']
['b38932bf38', 'other', 'Досуг']
['1035729344', 'other', 'Досуг']
['231bac1fca', 'other', '�\xadлектроника']
['2f45092650', 'other', '�\xadлектроника']
['e1738778ac', 'other', '�\xadлектроника']
['2518ee608a', 'other', 'Досуг']
['b602da8f4f', 'other', 'Бытовая техника']
['1460f00675', 'other', 'Бытовая техника']
['1f6a93cfd0', 'other', 'Товары для животных']
['779cec4e6f', 'context', 'Строительство и ремонт']
['bd0bfb6081', 'other', 'Досуг']
['7cae20cdba', 'context', 'не определена']
['964f77abb9', 'other', 'Товары для животных']
['824d7dc1da', 'other', '�\xadлектроника']
['75fa561c87', 'context', 'Бытовая техника']
['735284e60a', 'other', 'Бытовая техника']
['ebbf18454c', 'other', 'Продукты']
['f0786e4328', 'context', 'Продукты']
['f65310cc74', 'other', '�\xadлектроника']
['33998afd1c', 'other', 'Бытовая техника']
['ea0d8049e3', 'context', 'Бытовая техника']
['5e6cfdbc1c', 'other', '�\xadлектроника']
['d3ff27f68f', 'other', '�\xadлектроника']
['44e0dc31ce', 'context', 'Товары для животных']
['176742fa25', 'email', 'Досуг']
['a4efe5d448', 'context', 'Товары для животных']
['4d3c6aadf5', 'other', 'Товары для животных']
['4454d85843', 'other', 'Продукты']
['2081cf7480', 'context', 'Бытовая техника']
['fc8192c9c8', 'other', '�\xadлектроника']
['14c31e0c1e', 'context', 'Досуг']
['449505c9d8', 'other', '�\xadлектроника']
['94476a8369', 'other', 'Продукты']
['a43dd86c56', 'other', 'Бытовая техника']
['1e2c265bc4', 'other', '�\xadлектроника']
['869c1c29b9', 'other', 'Продукты']
['48569e217e', 'other', 'Бытовая техника']
['5b1e50821f', 'email', 'Бытовая техника']
['77f36555ba', 'other', 'Товары для животных']
['3ca720c01e', 'other', '�\xadлектроника']
['5a6a6d309d', 'email', '�\xadлектроника']
['ae475d4bb1', 'email', '�\xadлектроника']
['e9fb6de839', 'other', 'Бытовая техника']
['f6f7df5f4d', 'other', '�\xadлектроника']
['e415de2b18', 'other', 'Бытовая техника']
['ab426cced0', 'other', 'Строительство и ремонт']
['12129d2d13', 'other', '�\xadлектроника']
['1759a9325d', 'other', 'Бытовая техника']
['8948dc5616', 'other', 'Товары для животных']
['2b1728c429', 'context', 'Досуг']
['e791d1a212', 'other', 'Продукты']
['bfe28de286', 'context', 'Бытовая техника']
['701cfee42b', 'other', 'Бытовая техника']
['8d6fbe5278', 'other', 'Бытовая техника']
['c4edc286b8', 'other', 'Досуг']
['79440400e3', 'other', '�\xadлектроника']
['e6ee1d8d89', 'context', 'Строительство и ремонт']
['243d7e0a95', 'other', 'Бытовая техника']
['64842ee9cf', 'other', 'Товары для животных']
['bd460f3405', 'other', '�\xadлектроника']
['109fbe07f7', 'other', 'Строительство и ремонт']
['3bd3d1c5e8', 'other', '�\xadлектроника']
['10738c47a7', 'other', 'Бытовая техника']
['537009ef49', 'context', 'не определена']
['b667cd3778', 'other', 'Досуг']
['7189a26266', 'other', '�\xadлектроника']
['3efb665357', 'other', 'Бытовая техника']
['a7df231fed', 'other', '�\xadлектроника']
['eb17b6b1b7', 'context', 'Досуг']
['12a2ebde9b', 'other', 'Досуг']
['d7690ca4c0', 'other', '�\xadлектроника']
['b479a779b7', 'context', '�\xadлектроника']
['8bb76cf91e', 'other', 'Бытовая техника']
['588e139e53', 'other', 'Бытовая техника']
['478fa069a6', 'other', 'Бытовая техника']
['97e1482d3e', 'other', 'Бытовая техника']
['52730c206f', 'other', 'Бытовая техника']
['876653621b', 'other', '�\xadлектроника']
['59c0e968a7', 'context', 'Товары для животных']
['6dec44a650', 'email', 'Бытовая техника']
['712ed1b70d', 'context', 'Бытовая техника']
['761be8357b', 'other', '�\xadлектроника']
['ed9217d89e', 'None', '�\xadлектроника']
['e69eb9b5d9', 'other', '�\xadлектроника']
['3f82695909', 'other', 'Досуг']
['eeeac4c4b9', 'other', 'Бытовая техника']
['d844dbef73', 'context', 'Продукты']
['4c56fa14c1', 'other', 'Бытовая техника']
['6b5f868b94', 'context', '�\xadлектроника']
['557af23bea', 'other', 'Бытовая техника']
['c2e5400687', 'other', 'Продукты']
['b73deb623a', 'other', '�\xadлектроника']
['5a5fe810cf', 'context', '�\xadлектроника']
['9cc791e592', 'context', 'Товары для животных']
['c3059f4989', 'other', 'Бытовая техника']
['b6f37d3348', 'other', 'Продукты']
['912b75dc9c', 'other', 'Строительство и ремонт']
['a6f32cdbba', 'other', 'Товары для животных']
['348b7c059d', 'other', 'Досуг']
['c1a488a268', 'context', '�\xadлектроника']
['ae11a1db28', 'context', 'Бытовая техника']
['3de26412c9', 'other', '�\xadлектроника']
['ba4114f95d', 'other', 'Товары для животных']
['4162c2c385', 'context', '�\xadлектроника']
['b62a1755d6', 'other', 'Досуг']
['260a14dd1f', 'other', 'Бытовая техника']
['b0a7492cf6', 'context', 'Строительство и ремонт']
['5b95cc2219', 'other', 'Бытовая техника']
['f6d4aa8704', 'context', 'Продукты']
['66fe00a13b', 'other', 'Бытовая техника']
['e2afc86401', 'other', '�\xadлектроника']
['35699cdf36', 'context', 'Продукты']
['f0d4ce74f5', 'other', 'Продукты']
['0a97512af1', 'other', 'Бытовая техника']
['be7c6eec78', 'context', 'Продукты']
['4072ceca17', 'other', '�\xadлектроника']
['d0e5bc031f', 'context', 'Товары для животных']
['4d7c1ec18c', 'other', '�\xadлектроника']
['b01d58cfb6', 'other', '�\xadлектроника']
['8ae919bcf5', 'other', '�\xadлектроника']
['46dea2fc02', 'other', 'Бытовая техника']
['13e16d30a1', 'other', 'Строительство и ремонт']
['7366c004dd', 'email', 'Досуг']
['6cfb9c0d47', 'context', '�\xadлектроника']
['e214ebc3d8', 'context', '�\xadлектроника']
['0e26b5e178', 'other', '�\xadлектроника']
['b2d6f4b96b', 'context', 'Строительство и ремонт']
['3b9e35c586', 'other', 'Досуг']
['62c01ba3ee', 'other', '�\xadлектроника']
['36324a80e8', 'other', 'Товары для животных']
['7db3a49d7a', 'context', 'Продукты']
['976b9099bb', 'context', 'Бытовая техника']
['0c141b9d11', 'other', '�\xadлектроника']
['333a446b1a', 'context', '�\xadлектроника']
['6c8039ec0b', 'None', 'Бытовая техника']
['978a1db35d', 'context', 'Продукты']
['d9aaf3625d', 'context', 'Досуг']
['b660c38038', 'context', '�\xadлектроника']
['431d8bcf48', 'other', '�\xadлектроника']
['70dd8b05b7', 'other', 'Строительство и ремонт']
['f098a292b5', 'context', 'Строительство и ремонт']
['53fa70cd0a', 'other', '�\xadлектроника']
['554cffdc42', 'other', 'Досуг']
['7a7b4ad9b8', 'None', 'Бытовая техника']
['8142637a47', 'other', '�\xadлектроника']
['6cfdaf36b9', 'context', 'Бытовая техника']
['e66e26ccaf', 'other', 'Строительство и ремонт']
['e998b0efdf', 'other', 'Продукты']
['899017a076', 'context', 'Бытовая техника']
['0112d921ad', 'other', 'Досуг']
['05b4a4926d', 'other', 'Продукты']
['f54a353cc8', 'other', 'Продукты']
['36c9cf89bb', 'other', 'Товары для животных']
['d1cafbb9d3', 'context', '�\xadлектроника']
['976e3cd27c', 'other', '�\xadлектроника']
['9d04bb57e6', 'context', '�\xadлектроника']
['ef0f3269c3', 'context', '�\xadлектроника']
['f5e83a17af', 'other', '�\xadлектроника']
['845454eb25', 'other', 'Досуг']
['136193f9ba', 'other', 'не определена']
['ebeede9566', 'other', 'Бытовая техника']
['70a3198338', 'other', 'Бытовая техника']
['b1725f8ef0', 'context', 'Бытовая техника']
['4ae4547884', 'other', '�\xadлектроника']
['62b2386c1c', 'other', 'Досуг']
['7dc4993952', 'context', 'Продукты']
['bb7ef21be6', 'other', '�\xadлектроника']
['1558cc2bef', 'other', '�\xadлектроника']
['535a0a7fd2', 'other', 'Продукты']
['2f5e4f200e', 'context', '�\xadлектроника']
['224bb02440', 'email', 'Досуг']
['4fae7f1038', 'context', 'Бытовая техника']
['372182dfe7', 'context', 'Бытовая техника']
['6855dd174e', 'context', 'Бытовая техника']
['e262359530', 'other', 'Товары для животных']
['12072d9e49', 'context', 'Строительство и ремонт']
['8d2a3b3fe6', 'other', 'Продукты']
['71ad285ac3', 'other', '�\xadлектроника']
['81da2b0fca', 'context', '�\xadлектроника']
['9fcce69287', 'other', '�\xadлектроника']
['e5e8f27d21', 'other', '�\xadлектроника']
['de465d6615', 'other', 'Досуг']
['2659b22fd9', 'email', 'Строительство и ремонт']
['b0d7c401d6', 'other', 'Продукты']
['8af51088a0', 'context', 'не определена']
['79d5fa9e4f', 'context', 'Продукты']
['fea109639c', 'other', 'Бытовая техника']
['1c08931d92', 'context', 'Товары для животных']
['599bfa0616', 'other', 'Строительство и ремонт']
['0f2d86bca6', 'email', 'Бытовая техника']
['44b572a76b', 'other', '�\xadлектроника']
['d4e7790d8b', 'other', 'Товары для животных']
['84af74688b', 'other', 'Бытовая техника']
['eb39262ff5', 'context', '�\xadлектроника']
['7ec5981242', 'other', 'Продукты']
['9b0a694178', 'other', 'Досуг']
['3aa25fdfe8', 'email', 'Бытовая техника']
['cacbb038f7', 'other', '�\xadлектроника']
['6f4f14ebc6', 'other', '�\xadлектроника']
['2ef38ed257', 'context', 'Товары для животных']
['a8c79814bc', 'context', '�\xadлектроника']
['2809dbf3a9', 'other', 'Досуг']
['85411bb5a5', 'other', '�\xadлектроника']
['47e6bc8f0d', 'other', '�\xadлектроника']
['b36327fe75', 'other', '�\xadлектроника']
['a5c67b52d9', 'context', 'Досуг']
['07fd167458', 'other', 'Бытовая техника']
['4796b086c8', 'other', '�\xadлектроника']
['c20a8714ab', 'other', 'Строительство и ремонт']
['8ecf75a399', 'other', 'Бытовая техника']
['bc56bbf576', 'context', '�\xadлектроника']
['434d630b6e', 'context', '�\xadлектроника']
['2b95759653', 'other', 'Досуг']
['d5f8a2f57f', 'context', 'Продукты']
['a5a297e53b', 'other', 'Бытовая техника']
['e0e7c0213e', 'other', '�\xadлектроника']
['443b546650', 'other', 'Досуг']
['382d748d26', 'other', 'Бытовая техника']
['9505ed9769', 'other', 'Бытовая техника']
['faa0283824', 'other', '�\xadлектроника']
['2867baebbc', 'other', 'Бытовая техника']
['b9a7f7c97e', 'other', '�\xadлектроника']
['751b49b3b0', 'other', '�\xadлектроника']
['ec2d44b19c', 'other', 'Досуг']
['6d3baee7b3', 'other', '�\xadлектроника']
['28d7cc6a5e', 'other', 'Товары для животных']
['903e13b923', 'other', '�\xadлектроника']
['8e71840559', 'other', 'Продукты']
['840de9c40b', 'context', 'Досуг']
['0b2557196b', 'other', 'Досуг']
['e12f1c84b0', 'other', '�\xadлектроника']
['90da1539f0', 'other', 'Бытовая техника']
['2fa011d218', 'other', '�\xadлектроника']
['e17f002e28', 'other', '�\xadлектроника']
['512e5c7c20', 'other', '�\xadлектроника']
['71507a1091', 'other', 'Товары для животных']
['4cb5f60339', 'other', '�\xadлектроника']
['5811863cda', 'other', 'Досуг']
['d8a49a9a05', 'context', 'Бытовая техника']
['ca044019d5', 'context', 'Досуг']
['ec1283163b', 'context', '�\xadлектроника']
['0ada0701bf', 'other', 'Продукты']
['90e28a0c43', 'other', 'Строительство и ремонт']
['8908e622a3', 'other', 'Бытовая техника']
['07b56c982c', 'other', '�\xadлектроника']
['bfeb8c74fa', 'context', 'Досуг']
['4bba6f17b8', 'other', '�\xadлектроника']
['54bedfbf34', 'other', 'Бытовая техника']
['87a3bc895d', 'context', 'Досуг']
['6e0bc62ef5', 'email', 'Строительство и ремонт']
['50ab9e0fca', 'other', 'Строительство и ремонт']
['85d2bd017d', 'other', 'Продукты']
['76320e1780', 'context', 'Досуг']
['0178940f24', 'other', 'Бытовая техника']
['466c824e89', 'context', 'Бытовая техника']
['bc86682e83', 'context', 'Строительство и ремонт']
['bad3497b60', 'other', '�\xadлектроника']
['2d7e180adf', 'email', 'Бытовая техника']
['8c20ca5ff9', 'other', '�\xadлектроника']
['d2916bb2ea', 'other', 'Продукты']
['02492fcc59', 'other', '�\xadлектроника']
['0f27e67258', 'context', '�\xadлектроника']
['c4ed357b94', 'other', 'Продукты']
['c09aeef55e', 'other', 'Досуг']
['b9144a07e0', 'other', 'не определена']
['a47db10e2f', 'other', 'Бытовая техника']
['77199b7789', 'other', '�\xadлектроника']
['96442fe008', 'other', 'Бытовая техника']
['a3c25342e4', 'other', 'Бытовая техника']
['f3ca8d05f8', 'context', 'Бытовая техника']
['4eeb09793d', 'other', 'Строительство и ремонт']
['fa494db2b3', 'other', 'Продукты']
['0ead4b6323', 'other', 'Досуг']
['488dee03e1', 'email', 'Бытовая техника']
['ddcd6d7ef5', 'other', 'Бытовая техника']
['f730007b1d', 'context', 'Бытовая техника']
['b6079a2e10', 'other', 'Бытовая техника']
['a2ab6c2d8d', 'email', 'Досуг']
['98b9d4bed8', 'other', '�\xadлектроника']
['0e0caa68f8', 'other', 'Досуг']
['ad8f45bfad', 'email', 'Продукты']
['557a2165a3', 'other', 'Бытовая техника']
['4726551fb2', 'other', '�\xadлектроника']
['9e79a66b86', 'context', 'Строительство и ремонт']
['19dd98fbb8', 'other', 'Бытовая техника']
['309ecaddc0', 'context', 'Строительство и ремонт']
['3116bf018e', 'other', '�\xadлектроника']
['0a9e391d9b', 'other', 'Бытовая техника']
['18795cb4c5', 'other', '�\xadлектроника']
['f256406846', 'other', 'Товары для животных']
['81772bec1a', 'other', 'Досуг']
['73cb2dced7', 'context', 'Товары для животных']
['ee253e639a', 'other', '�\xadлектроника']
['88c0098aef', 'other', 'Бытовая техника']
['7faad4287a', 'other', 'Бытовая техника']
['087b2f6e2f', 'other', '�\xadлектроника']
['014b33059e', 'email', '�\xadлектроника']
